XCoord,YCoord,LBRY_NMBR,CTGY,NAME,AREA_SQM,MBRS,ADDR
18.47187734,-33.96137552,34,Regional,Rondebosch,1000,9447,NULL
18.52758760,-33.95436443,55,Community,Bridgetown,530,2484,NULL
18.56995176,-33.95300125,67,Community,Valhalla Park,480,3910,NULL
18.64659705,-33.94630667,78,Community,Huguenot Square,1140,7592,NULL
18.47100678,-33.94912127,29,Community,Mowbray,250,3291,NULL
18.58315417,-33.94925165,56,Community,Bishop Lavis,750,6894,NULL
18.55239964,-33.95145231,57,Community,Bonteheuwel,460,16120,NULL
18.52712895,-33.94438414,8,Community,Langa,700,1941,NULL
18.61465799,-33.94421554,54,Community,Belhar,520,4697,NULL
18.58475578,-33.93756723,68,Community,Adriaanse,930,9658,NULL
18.42714387,-33.93750558,16,Community,Vredehoek,320,1440,NULL
18.47047918,-33.93793033,12,Community,Observatory,380,1358,NULL
18.40663307,-33.93497936,6,Community,Kloof Street,180,2894,NULL
18.67172195,-33.93157914,83,Community,P D Paulse,420,8928,NULL
18.51156236,-33.93432219,13,Regional,Pinelands,770,9072,NULL
18.67822409,-33.92708792,80,Community,Kuilsriver,480,10267,NULL
18.45028807,-33.92877612,18,Community,Woodstock,480,3257,NULL
18.57399974,-33.92896065,76,Community,Elsies River,760,8724,NULL
18.60333965,-33.92240664,84,Community,Ravensmead,750,9421,NULL
18.64267750,-33.91524959,70,Community,Bellville South,900,3953,NULL
18.51163727,-33.90947026,5,Community,Kensington,700,2894,NULL
18.48999439,-33.90039143,3,Community,Brooklyn,880,3719,NULL
18.62440363,-33.90222577,69,City-wide,Bellville,3230,32126,NULL
18.55059631,-33.91131233,77,Regional,Goodwood,1840,15551,NULL
18.58710964,-33.90325917,82,Regional,Parow,2300,16042,NULL
18.63429994,-33.87446100,86,Community,Tygervalley,200,7155,NULL
18.54279627,-33.88044550,74,Regional,Edgemead,550,7737,NULL
18.72150099,-33.86662300,85,Community,Scottsdene,920,5135,NULL
18.49795861,-33.86819226,11,Regional,Milnerton,2340,12604,NULL
18.72196108,-33.85251970,75,Community,Eikendal,480,4352,NULL
18.54377239,-33.86257530,71,Community,Bothasig,650,8885,NULL
18.70548133,-33.84124917,79,Community,Kraaifontein,790,7513,NULL
18.64487048,-33.82975281,73,Regional,Durbanville,630,16808,NULL
18.48816625,-33.82777057,15,Regional,Table View,750,11707,NULL
18.46021659,-33.80099663,2,Community,Bloubergstrand,140,1180,NULL
18.90789490,-34.11956850,94,Community,Sir Lowry's Pass,400,2027,NULL
18.68824381,-33.87664545,72,Regional,Brakenfell,870,15308,NULL
18.57569542,-33.91943353,81,Community,Leonsdale,690,5722,NULL
18.86488685,-34.11856797,90,Community,Lwandle,540,4400,NULL
18.39776526,-33.90757012,14,Community,Sea Point,1020,8973,NULL
18.42367592,-33.92527910,4,City-wide,Central,0,19612,NULL
18.70452824,-34.04741615,46,Community,Nazeema Isaacs,1000,4413,NULL
18.37815372,-34.12830510,0,Satellite,Masiphumilele (satellite),250,1804,NULL
18.71741369,-33.78239463,0,Community,Fisantekraal,200,0,NULL
18.67135539,-34.05836239,0,Community,Harare,0,0,NULL
18.54929121,-33.97580758,NULL,Mobile,NULL,NULL,NULL,cnr Aries St + Gonubie Rd, Surrey
18.60838195,-33.99891165,NULL,Mobile,NULL,NULL,NULL,cnr Disa Rd + Lanzerac Rd, Philippi
18.59723630,-34.01625731,NULL,Mobile,NULL,NULL,NULL,cnr Heinz Park Rd + Daisy Cres.,Heinz Park, Philippi
18.41447275,-33.91881156,NULL,Mobile,NULL,NULL,NULL,cnr Dawes St + Longmarket St, Scotche's Kloof
18.44174255,-33.93505618,NULL,Mobile,NULL,NULL,NULL,cnr Worcester Rd + Perth Rd, Woodstock
18.55796121,-33.97634304,NULL,Mobile,NULL,NULL,NULL,cnr Jordan St + Silverstream Rd, Silverstream, Manenberg
18.67703031,-33.98318525,NULL,Mobile,NULL,NULL,NULL,cnr Hindle Rd + Rottendam Rd, Blue Downs
18.50042841,-33.97625481,NULL,Mobile,NULL,NULL,NULL,cnr First Ave + Second Ave, Rondebosch East
18.50397301,-33.97631698,NULL,Mobile,NULL,NULL,NULL,cnr crawford Rd + Hayward Rd, Crawford
18.51582038,-33.98266518,NULL,Mobile,NULL,NULL,NULL,cnr Penlyn Ave + Belgravia Rd, Belthorn Estate
18.48273611,-33.97815187,NULL,Mobile,NULL,NULL,NULL,cnr Keurboom Rd + Belvedere Rd, Claremont
18.49779928,-33.95448549,NULL,Mobile,NULL,NULL,NULL,cnr Marivy St + Lyndale Rd, Sybrand park
18.63057493,-34.01509525,NULL,Mobile,NULL,NULL,NULL,cnr Auber Ave + Kipling Ave, Mandalay
18.49763320,-33.99890912,NULL,Mobile,NULL,NULL,NULL,cnr Maybury Rd + Roath St, Lansdowne
18.53479391,-33.98447878,NULL,Mobile,NULL,NULL,NULL,cnr Jim Francis Rd + Andries Rd, Newfields, Hanover Park
18.54628802,-33.96660491,NULL,Mobile,NULL,NULL,NULL,cnr Reef Ave + Heideveld Rd, Heideveld
18.54306665,-33.97966689,NULL,Mobile,NULL,NULL,NULL,cnr Sirus Rd + Ruimte Way, Greenhaven
18.55306222,-33.97378769,NULL,Mobile,NULL,NULL,NULL,cnr Venster St + Cathedral Rd, Manenberg
18.48792642,-33.93514459,NULL,Mobile,NULL,NULL,NULL,cnr Deville Sq + Haig Ave, Maitland Garden Village
18.55854132,-33.91833625,NULL,Mobile,NULL,NULL,NULL,Vereeniging Circle, Ruyterwacht
18.53862823,-33.92144557,NULL,Mobile,NULL,NULL,NULL,cnr Sipres Ave + Chestnut St, Thornton
18.47052509,-34.04128576,NULL,Mobile,NULL,NULL,NULL,cnr Chadwin Rd + Waterford Rd, Elfindale
18.50275452,-34.02172586,NULL,Mobile,NULL,NULL,NULL,cnr Columbine Ave + Elm St, Ottery
18.48260662,-34.07281129,NULL,Mobile,NULL,NULL,NULL,cnr Southern Hills Dr + Harley St, Lavender Hill
18.48672915,-34.05769835,NULL,Mobile,NULL,NULL,NULL,cnr Peter Charles St + Candross Grant, Cafda Village, Retreat
18.49254029,-34.03226356,NULL,Mobile,NULL,NULL,NULL,cnr Walmer Rd + Parkwood Ave, Parkwood
18.46563971,-34.07815941,NULL,Mobile,NULL,NULL,NULL,Agate Close, Sheridon Park
18.43909761,-34.07533824,NULL,Mobile,NULL,NULL,NULL,cnr Lynx Way + Westlake Drive, Westlake
